"","Zip Code","Total","Information","Professional","Percent"
"156",90404,29742,8331,5551,0.466747360634793
"157",90405,18001,3311,2693,0.333537025720793
"158",90406,72,NA,0,NA
"159",90407,0,NA,NA,NA
"160",90408,3,0,0,0
"161",90409,10,NA,0,NA
"162",90410,0,NA,NA,NA
"163",90501,26586,242,1960,0.0828255472805236
"164",90502,14759,40,1062,0.0746663053052375
"165",90503,29330,436,1488,0.0655983634503921
"166",90504,8734,95,849,0.108083352415846
"167",90505,29280,146,2133,0.0778346994535519
"168",90506,1689,NA,0,NA
"169",90507,0,NA,NA,NA
"170",90509,1376,0,0,0
"171",90510,0,NA,NA,NA
"172",90601,12338,0,258,0.0209110066461339
"173",90602,10138,0,162,0.0159794831327678
"174",90603,4927,44,107,0.0306474528110412
"175",90604,2923,8,98,0.0362641122134793
"176",90605,8262,28,121,0.0180343742435246
"177",90606,5015,0,153,0.0305084745762712
"178",90607,68,NA,0,NA
"179",90608,1721,0,NA,NA
"180",90609,14,NA,NA,NA
"181",90610,0,NA,NA,NA
"182",90623,5018,7,401,0.0813072937425269
"183",90630,21275,525,2104,0.123572267920094
"184",90631,16525,74,366,0.0266263237518911
"185",90637,86,NA,NA,NA
"186",90638,17407,82,597,0.0390072959154363
"187",90639,1487,NA,NA,NA
"188",90640,21990,80,389,0.0213278763074125
"189",90650,28874,130,490,0.0214726051118653
"190",90651,115,NA,NA,NA
"191",90652,0,NA,NA,NA
"192",90660,16769,71,142,0.0127020096606834
"193",90661,0,NA,NA,NA
"194",90662,0,NA,NA,NA
"195",90670,52846,75,1227,0.0246376263104114
"196",90671,0,NA,NA,NA
"197",90701,8377,28,216,0.029127372567745
"198",90702,407,NA,0,NA
"199",90703,35615,837,1710,0.0715148111750667
"200",90704,2404,0,11,0.0045757071547421
"201",90706,16482,0,213,0.0129231889333819
"202",90707,60,NA,NA,NA
"203",90710,7723,45,150,0.025249255470672
"204",90711,0,NA,NA,NA
"205",90712,10458,113,255,0.0351883725377701
"206",90713,3851,3,48,0.0132433134250844
"207",90714,560,NA,NA,NA
"208",90715,1385,0,49,0.0353790613718412
"209",90716,2710,0,10,0.003690036900369
"210",90717,4092,21,126,0.0359237536656892
"211",90723,17102,44,347,0.0228628230616302
"212",90731,11932,84,511,0.0498659068052296
"213",90732,3164,9,164,0.0546776232616941
"214",90733,17,NA,0,NA
"215",90734,6,NA,0,NA
"216",90744,11897,43,261,0.0255526603345381
"217",90745,13125,0,404,0.0307809523809524
"218",90746,15099,0,1122,0.0743095569242996
"219",90747,2448,NA,NA,NA
"220",90748,398,NA,0,NA
"221",90749,1090,NA,20,NA
"222",90755,13229,47,695,0.0560888956081336
"223",90801,703,NA,25,NA
"224",90802,30697,391,3138,0.114962374173372
"225",90803,9238,100,542,0.0694955618099156
"226",90804,10115,0,600,0.0593178447849728
"227",90805,15317,44,198,0.0157994385323497
"228",90806,23263,80,1366,0.0621587929329837
"229",90807,13299,0,1022,0.0768478832994962
"230",90808,11813,256,687,0.0798273088969779
"231",90809,125,NA,0,NA
"232",90810,16256,227,556,0.0481668307086614
"233",90813,13476,3,278,0.0208518848322944
"234",90814,2446,8,129,0.0560098119378577
"235",90815,13383,41,741,0.0584323395352313
"236",90822,3725,NA,0,NA
"237",90831,1443,0,293,0.203049203049203
"238",90832,1,NA,0,NA
"239",90840,5760,NA,0,NA
